,Region,0-5 ,5-10  ,10-15 ,15-20 ,20-25 ,25-30 ,30-35 ,35-40 ,40-45 ,45-50 ,50-55 ,55-60 ,60-65 ,65-70 ,70-75 ,75-80 ,80-85 ,85-90 ,90-95 ,Od 95 
0,Benešov,5325,5571,5861,4620,4308,5394,5978,6854,8441,8188,6296,6068,6096,6721,6268,3731,2171,1301,476,74
1,Beroun,5667,5735,5865,4433,4063,5057,6296,7288,8816,8416,6166,5654,5101,5569,5197,3567,1950,1052,433,78
2,Blansko,5982,5966,6150,4904,4787,6244,6871,7596,8959,8971,6792,6684,6497,6919,6230,4466,2710,1620,628,128
3,Brno-město,21802,19338,18650,15363,15401,23145,30151,30751,32076,28973,22525,22826,21442,22547,21314,16807,9972,5946,2744,632
4,Brno-venkov,13933,13817,13705,10720,9627,12462,14809,16927,19798,19022,14493,13173,12000,12583,11944,8570,4795,2694,1110,260
5,Bruntál,4183,4144,4965,4428,4506,5418,5575,5549,7076,7477,6153,5806,5938,6662,6312,3375,1892,1050,371,91
6,Břeclav,6069,5783,6078,5173,5155,6853,7510,8146,9615,9583,8017,7569,7268,7658,6896,4453,2606,1393,541,116
7,Cheb,4205,4497,5387,4412,4205,5130,5815,5951,7358,7866,6189,5898,5735,6150,5654,3381,2081,1058,373,89
8,Chomutov,6279,6197,7227,6231,5995,7401,8430,8883,10151,10397,8532,8267,7532,7801,7232,4052,2442,1091,374,86
9,Chrudim,5580,5358,5574,4986,5067,6290,6731,6787,8374,8168,6531,6772,6435,7120,6103,4135,2586,1517,488,106
10,Domažlice,3171,3128,3588,3017,2848,3641,3942,3986,4972,5254,4108,3899,3771,4070,3785,2294,1297,733,230,50
11,Děčín,6234,6648,7829,6753,6201,7367,7639,7929,9962,11174,8296,7758,7286,8882,8874,4957,2578,1439,526,117
12,Frýdek-Místek,11169,11080,12062,10098,9959,12613,14199,14220,16968,17559,14364,14635,13132,13503,12036,8341,4876,2530,1011,232
13,Havlíčkův Brod,5062,4788,5088,4397,4442,5452,5828,6163,7278,7507,6054,6225,6040,6397,5718,3849,2389,1389,481,65
14,Hlavní město Praha,73806,70840,68178,52228,55152,80144,108880,114303,125215,109141,80959,76847,66280,74082,70926,52917,27856,17561,7974,1795
15,Hodonín,7315,7142,7719,6912,6894,9202,9558,10310,12260,12401,10581,10550,10221,10347,8903,6315,3843,2170,809,155
16,Hradec Králové,8667,8281,9102,7264,7332,9385,10499,10970,13105,13167,10436,9841,9727,10943,10237,7247,4358,2654,1021,199
17,Jablonec nad Nisou,4941,4703,5207,4198,4085,5017,5529,6031,7450,7521,5822,5432,5038,5935,5969,3645,2010,1107,445,113
18,Jeseník,1723,1632,1972,1796,1838,2187,2351,2251,2876,3072,2423,2515,2557,2896,2604,1488,863,465,163,37
19,Jihlava,6046,6016,6489,5287,5213,6670,7457,7769,9321,9235,7297,7166,7045,6955,6587,4137,2706,1581,591,96
20,Jihomoravský kraj,66722,62945,63753,52649,51239,70247,82495,88207,99858,95717,75841,73651,70106,73354,67225,48043,28460,16451,6845,1519
21,Jihočeský kraj,33685,33040,35765,30061,28994,37266,40988,42548,51850,51993,41784,40975,40583,42722,38590,25070,14947,8804,3235,651
22,Jindřichův Hradec,4413,4312,4900,4295,4212,5285,5323,5628,7085,7218,5960,5615,6020,6376,6036,3613,2169,1278,434,107
23,Jičín,4072,3965,4459,3719,3587,4655,4905,5296,6479,6552,5055,5116,4930,5573,4970,3186,1866,1165,488,96
24,Karlovarský kraj,13708,13983,16827,13775,13365,16702,18769,19068,23068,24813,20263,19624,18562,19720,18111,11002,7048,3449,1215,239
25,Karlovy Vary,5167,5210,6291,5118,4959,6255,7242,7430,9050,9808,7778,7785,7379,7956,7228,4525,2967,1542,581,103
26,Karviná,11417,11165,12891,11100,11378,14741,16064,15516,17534,19064,17507,17839,15912,15612,13981,10679,6189,2908,1061,221
27,Kladno,8989,9372,9811,7932,7072,9298,10846,11791,14315,14426,11189,10512,8969,10112,9475,6395,3509,1999,712,121
28,Klatovy,4082,4045,4618,4155,3926,4847,5065,5357,6670,7088,5830,5767,5546,6066,5552,3723,2114,1268,448,86
29,Kolín,6007,5858,5951,4818,4335,5810,7069,7707,9066,8633,6404,6024,5708,6327,5837,3895,2337,1358,502,127
30,Kraj Vysočina,26776,25550,27325,24038,24228,30496,32186,33376,39563,40803,33171,33335,32257,32447,29650,20258,12956,7297,2677,463
31,Kroměříž,5353,5032,5600,4833,4664,6062,6485,6949,8249,8581,6853,6877,6758,7276,6323,4122,2609,1476,589,135
32,Královéhradecký kraj,27906,27420,30797,25711,25530,31393,34103,35323,43662,44921,35688,34214,32965,37198,34976,23516,13568,8038,3248,626
33,Kutná Hora,3971,3901,4011,3359,3362,4531,4909,5200,5944,6158,4995,4870,4895,5098,4658,3063,1767,1138,400,80
34,Liberec,9680,9494,10402,8306,8133,10121,11750,12021,14587,15186,11082,10312,9183,10949,11064,6573,3620,2009,825,168
35,Liberecký kraj,23623,23210,25855,20928,20595,25470,28542,29698,36497,37334,28252,26822,24831,28511,28210,16840,9467,5296,2071,424
36,Litoměřice,6001,6490,6949,5761,5297,6785,7384,7929,10192,10026,7699,7267,7009,7929,7503,4509,2475,1401,479,92
37,Louny,4369,4492,5116,4267,4130,4956,5433,5907,6993,7362,5508,5447,5248,5859,5385,2929,1720,884,297,62
38,Mladá Boleslav,7059,7038,7584,5820,5625,7778,9154,9920,12068,11328,8517,7525,7283,7983,7063,4484,2593,1508,588,124
39,Moravskoslezský kraj,60012,58292,65465,56091,55579,70948,79773,78186,92539,95934,80862,81427,74596,76845,68763,47716,28733,14466,5464,1143
40,Most,5382,5544,6598,5496,5249,6610,7278,7354,8618,9182,7585,7704,6760,6978,6580,4080,2358,1107,383,87
41,Mělník,6201,6127,6523,5306,4750,6378,7432,7842,9507,9549,7268,6659,5800,6432,6171,4044,2213,1214,468,103
42,Nový Jičín,8186,7797,8525,7286,7134,9192,10035,9874,12037,12149,10182,9786,9218,9662,8716,5722,3393,1724,645,135
43,Nymburk,5634,5863,6411,5069,4408,5515,6482,7192,9401,8843,6394,5713,5582,6145,5698,3652,2014,1195,403,84
44,Náchod,5425,5341,6155,5343,5409,6149,6596,6562,8320,8840,7240,6999,6646,7384,6946,4930,2766,1625,669,142
45,Olomouc,13030,12763,13123,10762,10135,13455,15607,16486,19921,19242,14583,14566,14057,14851,13400,9080,5571,3300,1240,269
46,Olomoucký kraj,32767,31577,34915,29294,28272,36350,40468,41543,51208,51737,40560,40110,39006,41444,37791,25293,15482,8708,3319,678
47,Opava,9055,8894,9963,8450,8112,9965,11573,11745,14064,14277,11264,11723,11450,11590,9754,6248,4492,2210,775,173
48,Ostrava-město,16002,15212,17059,14729,14490,19019,22327,21282,24860,25408,21392,21638,18946,19816,17964,13351,7891,4044,1601,291
49,Pardubice,9439,9268,9712,7502,7945,10172,12297,12848,14904,14714,11128,10527,10131,10998,9635,6649,4324,2696,1063,185
50,Pardubický kraj,27720,26907,28992,24342,24858,31146,33930,34987,42684,42959,33245,32398,31057,33930,30477,20173,12375,7454,2706,516
51,Pelhřimov,3563,3466,3635,3351,3488,4222,4425,4696,5565,5837,4796,4742,4710,4697,4438,3177,1991,1058,377,64
52,Plzeň-jih,3290,3158,3515,2836,2842,3560,4036,4410,5330,5481,4118,4034,3764,4352,3887,2488,1413,767,277,57
53,Plzeň-město,10208,9798,10262,7963,7996,10990,14364,15294,16562,15755,12019,11641,11015,12137,10968,8656,5043,2873,1109,187
54,Plzeň-sever,4208,4188,4758,3821,3665,4794,5239,5680,6977,6928,5281,4963,4633,5093,4545,2901,1714,889,331,63
55,Plzeňský kraj,30415,29455,32430,26410,25990,34127,39831,41989,48971,49170,38337,37101,35180,38408,34770,23700,13731,7681,2815,530
56,Prachatice,2575,2565,2776,2493,2435,3012,3161,3355,4045,4032,3373,3350,3353,3429,3024,1811,1126,608,205,51
57,Praha-východ,12195,14144,13694,9734,7622,8964,12063,14953,19420,17337,11717,10036,8513,9259,8476,5486,2874,1671,629,152
58,Praha-západ,9824,11118,10945,8140,6288,7308,9032,11245,14912,14074,9851,8530,6988,7732,7316,4678,2256,1333,584,131
59,Prostějov,5547,5440,6144,5141,4860,6127,6773,7316,9033,8906,6830,6913,6633,7059,6415,4495,2638,1490,611,133
60,Písek,3574,3541,3817,3281,3346,4067,4416,4461,5602,5781,4614,4598,4424,4937,4555,3055,1901,1093,444,81
61,Přerov,6377,5931,6973,5988,5851,7554,8195,8210,9885,10660,8943,8574,8197,8401,7535,5548,3407,1845,703,124
62,Příbram,6037,5930,6206,5410,5136,6321,7235,7649,9556,9556,7399,7477,7254,7721,7065,4393,2652,1535,593,111
63,Rakovník,2842,2910,3101,2518,2430,3026,3526,3799,4630,4589,3563,3551,3398,3858,3521,2171,1295,700,249,60
64,Rokycany,2603,2492,2647,2153,2148,2876,3286,3405,4094,4114,3287,3096,3002,3274,3005,1955,1098,661,249,44
65,Rychnov nad Kněžnou,4128,4066,4478,3816,3746,4710,4950,5214,6389,6587,5011,4867,4652,5211,4840,3205,1843,1104,444,72
66,Semily,3767,3637,4117,3482,3285,4300,4565,4603,5756,6081,4803,4653,4492,4942,4650,3178,1808,1162,466,68
67,Sokolov,4336,4276,5149,4245,4201,5317,5712,5687,6660,7139,6296,5941,5448,5614,5229,3096,2000,849,261,47
68,Strakonice,3547,3583,3932,3290,3067,3959,4426,4628,5667,5566,4624,4607,4567,4769,4159,2942,1804,980,350,65
69,Středočeský kraj,79751,83567,85963,67159,59399,75380,90022,101440,126076,121097,89759,82619,75587,82957,76745,49559,27631,16004,6037,1245
70,Svitavy,5375,5187,5860,5096,5185,6383,6339,6638,8206,8679,6637,6519,6389,6862,6307,4041,2350,1392,473,82
71,Tachov,2853,2646,3042,2465,2565,3419,3899,3857,4366,4550,3694,3701,3449,3416,3028,1683,1052,490,171,43
72,Teplice,6367,6428,7522,6352,5914,7495,8333,8735,10559,11344,8847,8189,7369,8016,8047,4823,2697,1242,473,78
73,Trutnov,5614,5767,6603,5569,5456,6494,7153,7281,9369,9775,7946,7391,7010,8087,7983,4948,2735,1490,626,117
74,Tábor,5188,5095,5624,4764,4616,5806,6141,6648,8047,8357,6576,6603,6654,7023,6336,4135,2578,1562,601,97
75,Třebíč,5486,5375,5689,5227,5282,6787,6911,7197,8466,8889,7194,7423,7215,7288,6411,4324,2733,1663,664,113
76,Uherské Hradiště,7115,6802,7346,6466,6392,8261,8952,9468,11173,11400,9603,9607,9218,9000,8154,5730,3822,2175,795,151
77,Vsetín,7333,7120,7729,6685,6819,8589,9147,9139,11022,11538,9456,9754,8906,9013,8208,5813,3575,1998,729,130
78,Vyškov,5416,5185,5150,4159,3958,5351,6294,6808,8020,7401,5845,5667,5527,5706,4999,3372,2072,1218,492,95
79,Zlín,9713,9230,10270,8788,8444,10740,12394,12707,15566,15697,12209,12498,11995,12735,10923,7664,5059,3085,1049,194
80,Zlínský kraj,29514,28184,30945,26772,26319,33652,36978,38263,46010,47216,38121,38736,36877,38024,33608,23329,15065,8734,3162,610
81,Znojmo,6205,5714,6301,5418,5417,6990,7302,7669,9130,9366,7588,7182,7151,7594,6939,4060,2462,1410,521,133
82,Ústecký kraj,40857,41987,48312,40992,38390,47604,51966,54379,66120,69751,54241,51874,47578,52776,51335,29785,16818,8547,3043,649
83,Ústí nad Labem,6225,6188,7071,6132,5604,6990,7469,7642,9645,10266,7774,7242,6374,7311,7714,4435,2548,1383,511,127
84,Ústí nad Orlicí,7326,7094,7846,6758,6661,8301,8563,8714,11200,11398,8949,8580,8102,8950,8432,5348,3115,1849,682,143
85,Česká Lípa,5235,5376,6129,4942,5092,6032,6698,7043,8704,8546,6545,6425,6118,6685,6527,3444,2029,1018,335,75
86,Česká republika,567262,556957,595522,490450,477910,620925,718931,753310,893321,882586,691083,669733,625465,672418,621177,417201,244137,138490,53811,11088
87,České Budějovice,11152,10768,11068,8875,8393,11500,13547,13660,16412,16025,12606,12286,11682,12205,10912,7483,4191,2664,979,194
88,Český Krumlov,3236,3176,3648,3063,2925,3637,3974,4168,4992,5014,4031,3916,3883,3983,3568,2031,1178,619,222,56
89,Šumperk,6090,5811,6703,5607,5588,7027,7542,7280,9493,9857,7781,7542,7562,8237,7837,4682,3003,1608,602,115
90,Žďár nad Sázavou,6619,5905,6424,5776,5803,7365,7565,7551,8933,9335,7830,7779,7247,7110,6496,4771,3137,1606,564,125
